level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p4_legacy_best_val_ac,same_site,17,3,3,3,0.6925389204782174,0.6949969628384443,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,cross_site,17,3,3,3,0.6775503607136919,0.7170522248988532,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_I0006,17,3,3,3,0.5934343434343434,0.704620811287478,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p4_legacy_best_val_ac,site_S0001,17,3,3,3,0.6971780407185313,0.6959105550729339,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,overall,17,3,3,3,0.6628714074481188,0.6643738749456612,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,same_site,17,3,3,3,0.6637419045669234,0.6611411726385819,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,cross_site,17,3,3,3,0.6651053283149608,0.6641539687725758,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_I0006,17,3,3,3,0.7727272727272728,0.5814285714285714,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p4_legacy_fixed_epoch6,site_S0001,17,3,3,3,0.6590214915726947,0.6659882345335131,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p3_demo10,overall,29,3,3,3,0.5776710064571619,0.7818111717214856,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
