model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p3_global59,17,0,site_S0001,0.4745762711864407,236,12,193,12,126,0.7396373056994818,2316,output/p3_v2/cv/seed17/fold0/P3_global59_holdout.csv
p3_stage155,17,0,overall,0.45901639344262296,366,15,229,15,160,0.7179039301310044,3435,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p3_stage155,17,0,same_site,0.36693548387096775,248,15,229,15,137,0.7021452145214522,2424,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p3_stage155,17,0,cross_site,0.652542372881356,118,15,229,14,93,0.7556874381800198,1011,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p3_stage155,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p3_stage155,17,0,site_I0006,0.6666666666666666,12,3,36,3,11,0.7870370370370371,108,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p3_stage155,17,0,site_S0001,0.3516949152542373,236,12,193,12,126,0.6981865284974094,2316,output/p3_v2/cv/seed17/fold0/P3_stage155_holdout.csv
p4_legacy_best_val_ac,17,0,overall,0.726775956284153,366,15,229,15,160,0.744395924308588,3435,output/p4_legacy_lstm_cv/seed7_model/outer_seed17_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,17,0,same_site,0.6975806451612904,248,15,229,15,137,0.7392739273927392,2424,output/p4_legacy_lstm_cv/seed7_model/outer_seed17_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,17,0,cross_site,0.788135593220339,118,15,229,14,93,0.7566765578635015,1011,output/p4_legacy_lstm_cv/seed7_model/outer_seed17_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,17,0,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p4_legacy_lstm_cv/seed7_model/outer_seed17_fold0/best_val_ac_outer_holdout_logits.csv
p4_legacy_best_val_ac,17,0,site_I0006,0.8333333333333334,12,3,36,3,11,0.8703703703703703,108,output/p4_legacy_lstm_cv/seed7_model/outer_seed17_fold0/best_val_ac_outer_holdout_logits.csv
